state,Population
Alabama,5031362
Alaska,732923
Arizona,7179943
Arkansas,3014195
California,39501653
Colorado,5784865
Connecticut,3597362
Delaware,992114
District of Columbia,670868
Florida,21589602
Georgia,10729828
Hawaii,1451043
Idaho,1849202
Illinois,12786580
Indiana,6788799
Iowa,3190571
Kansas,2937919
Kentucky,4507445
Louisiana,4651664
Maine,1363557
Maryland,6173205
Massachusetts,6995729
Michigan,10069577
Minnesota,5709852
Mississippi,2958141
Missouri,6153998
Montana,1087075
Nebraska,1962642
Nevada,3115648
New Hampshire,1378587
New Jersey,9271689
New Mexico,2118390
New York,20108296
North Carolina,10449445
North Dakota,779518
Ohio,11797517
Oklahoma,3964912
Oregon,4244795
Pennsylvania,12994440
Rhode Island,1096345
South Carolina,5131848
South Dakota,887799
Tennessee,6925619
Texas,29232474
Utah,3283785
Vermont,642893
Virginia,8636471
Washington,7724031
West Virginia,1791420
Wisconsin,5896271
Wyoming,577605
